date,value
2015-01-01,0.0
2015-02-01,197.0
2015-03-01,178.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,296.0
2015-10-01,0.0
2015-11-01,234.0
2015-12-01,268.0
2016-01-01,248.0
2016-02-01,0.0
2016-03-01,184.0
2016-04-01,60.0
2016-05-01,173.0
2016-06-01,95.0
2016-07-01,272.0
2016-08-01,109.0
2016-09-01,0.0
2016-10-01,112.0
2016-11-01,0.0
2016-12-01,192.0
2017-01-01,287.0
2017-02-01,0.0
2017-03-01,120.0
2017-04-01,0.0
2017-05-01,51.0
2017-06-01,0.0
2017-07-01,281.0
2017-08-01,0.0
2017-09-01,273.0
2017-10-01,75.0
2017-11-01,73.0
2017-12-01,258.0
2018-01-01,76.0
2018-02-01,62.0
2018-03-01,0.0
2018-04-01,281.0
2018-05-01,0.0
2018-06-01,74.0
2018-07-01,0.0
2018-08-01,260.0
2018-09-01,250.0
2018-10-01,275.0
2018-11-01,109.0
2018-12-01,294.0
2019-01-01,130.0
2019-02-01,250.0
2019-03-01,194.0
2019-04-01,244.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,244.0
2019-09-01,234.0
2019-10-01,83.0
2019-11-01,256.0
2019-12-01,0.0
2020-01-01,130.0
2020-02-01,178.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,146.0
2020-09-01,221.0
2020-10-01,0.0
2020-11-01,112.0
2020-12-01,116.0
