date,value
1/1/2018,96
2/1/2018,94
3/1/2018,101
4/1/2018,110
5/1/2018,118
6/1/2018,127
7/1/2018,135
8/1/2018,132
9/1/2018,124
10/1/2018,116
11/1/2018,108
12/1/2018,114
1/1/2019,100
2/1/2019,97
3/1/2019,104
4/1/2019,113
5/1/2019,121
6/1/2019,130
7/1/2019,138
8/1/2019,136
9/1/2019,128
10/1/2019,120
11/1/2019,112
12/1/2019,118
1/1/2020,115
2/1/2020,110
3/1/2020,102
4/1/2020,85
5/1/2020,90
6/1/2020,108
7/1/2020,142
8/1/2020,158
9/1/2020,165
10/1/2020,170
11/1/2020,174
12/1/2020,182
1/1/2021,188
2/1/2021,184
3/1/2021,192
4/1/2021,208
5/1/2021,222
6/1/2021,235
7/1/2021,242
8/1/2021,238
9/1/2021,230
10/1/2021,218
11/1/2021,208
12/1/2021,214
1/1/2022,202
2/1/2022,194
3/1/2022,186
4/1/2022,178
5/1/2022,172
6/1/2022,170
7/1/2022,174
8/1/2022,172
9/1/2022,166
10/1/2022,158
11/1/2022,150
12/1/2022,152
1/1/2023,148
2/1/2023,146
3/1/2023,152
4/1/2023,160
5/1/2023,168
6/1/2023,176
7/1/2023,182
8/1/2023,178
9/1/2023,170
10/1/2023,162
11/1/2023,156
12/1/2023,160
