date,value
2018-01-01,1014901.0
2018-02-01,1044303.0
2018-03-01,1105614.0
2018-04-01,1151043.0
2018-05-01,1096060.0
2018-06-01,1075229.0
2018-07-01,1098081.0
2018-08-01,1042178.0
2018-09-01,984239.0
2018-10-01,1012333.0
2018-11-01,1001322.0
2018-12-01,1038986.0
2019-01-01,1108667.0
2019-02-01,1092461.0
2019-03-01,1135844.0
2019-04-01,1189892.0
2019-05-01,1174108.0
2019-06-01,1193089.0
2019-07-01,1124872.0
2019-08-01,1078194.0
2019-09-01,1143702.0
2019-10-01,1090691.0
2019-11-01,1118659.0
2019-12-01,1111624.0
2020-01-01,1186485.0
2020-02-01,1254595.0
2020-03-01,1254471.0
2020-04-01,1319440.0
2020-05-01,1287883.0
2020-06-01,1276320.0
2020-07-01,1235470.0
2020-08-01,1277540.0
2020-09-01,1200736.0
2020-10-01,1167142.0
2020-11-01,1242718.0
2020-12-01,1219149.0
2021-01-01,1310491.0
2021-02-01,1293886.0
2021-03-01,1350563.0
2021-04-01,1415483.0
2021-05-01,1429464.0
2021-06-01,1391620.0
2021-07-01,1351460.0
2021-08-01,1314347.0
2021-09-01,1258193.0
2021-10-01,1278686.0
2021-11-01,1305631.0
2021-12-01,1388897.0
2022-01-01,1415942.0
2022-02-01,1401193.0
2022-03-01,1501540.0
2022-04-01,1499433.0
2022-05-01,1488411.0
2022-06-01,1506238.0
2022-07-01,1487268.0
2022-08-01,1452727.0
2022-09-01,1378781.0
2022-10-01,1392414.0
2022-11-01,1430797.0
2022-12-01,1487858.0
2023-01-01,1492667.0
2023-02-01,1549923.0
2023-03-01,1560036.0
2023-04-01,1576508.0
2023-05-01,1634503.0
2023-06-01,1629983.0
2023-07-01,1555586.0
2023-08-01,1556303.0
2023-09-01,1516215.0
2023-10-01,1483745.0
2023-11-01,1533109.0
2023-12-01,1606141.0
